seed,intercept_rate
0,0.4639450056116723
1,0.49680137306912153
2,0.6626679462571977
3,0.809060773480663
4,0.5408636939091293
5,0.5996974697469747
6,0.513454053139279
7,0.5850529838259899
8,0.8952236797847293
9,0.8505599412520654
10,0.7592465753424658
11,0.8578518959698233
12,0.5833023428783934
13,0.6873501997336884
14,0.4062454185603284
15,0.7591104466454868
16,0.8101437483048549
17,0.8955823293172691
18,0.5683111954459203
19,0.5662251655629139
20,0.6227897838899804
21,0.9245257991776098
22,0.46894784443774495
23,0.7093726379440665
24,0.6851963746223565
25,0.9504333694474539
26,0.7053892215568862
27,0.8133712660028449
28,0.7884037884037884
29,0.9293313069908815
