label,mean_dwell,hop_set,wiql_mean,rr_mean,delta
baseline,10,4,0.4562368824399786,0.3160669202117948,0.14016996222818384
2x faster,5,4,0.4606040005357384,0.31505994295323414,0.14554405758250427
4x faster,2,4,0.4340023401682013,0.3145184878198394,0.1194838523483619
larger hop set,10,6,0.42162973644953294,0.31442663244063573,0.10720310400889721
