============================================================
  PS 26055 Statistical Harness — FULL RUN
  Seeds=30  T=5000  K=3  bands=8
  TSRD: statistics source only — not the environment
  Periodic params: 2 characterised instances (thin basis, noted)
============================================================

[Test 1] Core Scheduler vs Baselines

  Scenario: background | seeds=30 T=5000 dt=1000μs
    seed=27  wiql_ucb                rate=0.023  reward=0.009
    seed=27  wiql_ucb_no_bias        rate=0.193  reward=0.079
    seed=28  round_robin             rate=0.283  reward=0.079
    seed=28  random                  rate=0.292  reward=0.081
    seed=28  wiql_ucb                rate=0.024  reward=0.006
    seed=28  wiql_ucb_no_bias        rate=0.553  reward=0.155
    seed=29  round_robin             rate=0.336  reward=0.130
    seed=29  random                  rate=0.352  reward=0.136
    seed=29  wiql_ucb                rate=0.593  reward=0.229
    seed=29  wiql_ucb_no_bias        rate=0.595  reward=0.230
    Wilcoxon WIQL vs round_robin: p=0.7551
    Wilcoxon WIQL vs random: p=0.7486

  Scenario: periodic | seeds=30 T=5000 dt=100μs
    seed= 0  round_robin             rate=0.244  reward=0.132
    seed= 0  random                  rate=0.250  reward=0.136
    seed= 0  wiql_ucb                rate=0.131  reward=0.070
    seed= 0  wiql_ucb_no_bias        rate=0.144  reward=0.078
    seed= 1  round_robin             rate=0.220  reward=0.096
    seed= 1  random                  rate=0.219  reward=0.096
    seed= 1  wiql_ucb                rate=0.137  reward=0.059
    seed= 1  wiql_ucb_no_bias        rate=0.418  reward=0.183
    seed= 2  round_robin             rate=0.320  reward=0.142
    seed= 2  random                  rate=0.324  reward=0.144
    seed= 2  wiql_ucb                rate=0.496  reward=0.221
    seed= 2  wiql_ucb_no_bias        rate=0.613  reward=0.273
    seed= 3  round_robin             rate=0.322  reward=0.096
    seed= 3  random                  rate=0.318  reward=0.095
    seed= 3  wiql_ucb                rate=0.594  reward=0.179
    seed= 3  wiql_ucb_no_bias        rate=0.606  reward=0.182
    seed= 4  round_robin             rate=0.257  reward=0.126
    seed= 4  random                  rate=0.256  reward=0.125
    seed= 4  wiql_ucb                rate=0.088  reward=0.043
    seed= 4  wiql_ucb_no_bias        rate=0.405  reward=0.199
    seed= 5  round_robin             rate=0.282  reward=0.140
    seed= 5  random                  rate=0.284  reward=0.141
    seed= 5  wiql_ucb                rate=0.420  reward=0.209
    seed= 5  wiql_ucb_no_bias        rate=0.420  reward=0.209
