k_bands,k_scan,mean_us,median_us,p95_us,scale
8,3,24.350800703768982,24.013000256672967,26.619999994181853,1.0×
100,10,256.3649180016455,254.45899996157095,262.79564981450676,10.5×
1000,50,2543.770692099133,2540.3005001862766,2568.140950211273,104.5×
