seed,intercept_rate,converged
0,0.9899497487437185,1
1,0.9949748743718593,1
2,0.9899497487437185,1
3,0.9897959183673469,1
4,0.9798994974874372,1
5,0.9543147208121827,1
6,0.9696969696969697,1
7,0.9846938775510204,1
8,0.9747474747474747,1
9,0.9545454545454546,1
10,0.9543147208121827,1
11,0.9848484848484849,1
12,0.9747474747474747,1
13,1.0,1
14,1.0,1
15,0.9849246231155779,1
16,0.9693877551020408,1
17,1.0,1
18,0.949748743718593,1
19,0.9595959595959596,1
20,0.9646464646464646,1
21,0.9593908629441624,1
22,0.9693877551020408,1
23,0.9547738693467337,1
24,0.9747474747474747,1
25,0.9848484848484849,1
26,0.9595959595959596,1
27,0.9949494949494949,1
28,0.9387755102040817,1
29,0.9747474747474747,1
