scenario,seed,pd,pfa,avg_reward,pct_correct
background,0,0.9695918367346938,0.010198019801980198,0.31604666666666664,0.491575
background,1,0.6110223642172524,0.010683760683760684,0.30546666666666666,0.394525
background,2,0.8385798476354751,0.01081685938082805,0.38835333333333333,0.381925
background,3,0.9414570685169124,0.009626492106276472,0.2888,0.419225
background,4,0.6515712623002857,0.009911695801045233,0.4101666666666666,0.321825
background,5,0.7990629880270692,0.010176464219984844,0.30637333333333333,0.38985
background,6,0.6826365124237465,0.007609614687764223,0.30544666666666664,0.39205
background,7,0.8325998113800691,0.009029868025005789,0.35261333333333333,0.3741
background,8,0.8924119241192412,0.00958005249343832,0.4385799999999999,0.383425
background,9,0.8716099702147672,0.008699686811274794,0.37016666666666664,0.393175
background,10,0.9153658536585366,0.00963302752293578,0.2495,0.4855
background,11,0.7769775678866588,0.00888208269525268,0.4383466666666666,0.342925
background,12,0.8995877988458367,0.010408505875769447,0.36311333333333334,0.37725
background,13,0.6174253001954761,0.011209387862334705,0.14654666666666666,0.354075
background,14,0.9811244979919679,0.011277445109780439,0.32498,0.506575
background,15,0.900051431510372,0.008945129268026618,0.34945333333333334,0.3927
background,16,0.45776948203453105,0.00896023893970506,0.13016,0.3729
background,17,0.9600154529650377,0.010485595032067597,0.33064666666666664,0.3954
background,18,0.9647444657010112,0.010140199276959704,0.23456666666666665,0.411025
background,19,0.8793628808864266,0.010411311053984575,0.42272666666666664,0.404375
background,20,0.6932786367939413,0.01005832135914124,0.14567333333333332,0.38735
background,21,0.9423883318140382,0.00977404098791382,0.34397999999999995,0.479025
background,22,0.9858593905596494,0.01012125463473294,0.32932666666666666,0.431325
background,23,0.9853721682847897,0.010996563573883162,0.5069333333333333,0.4104
background,24,0.8247919404292597,0.008833271991166729,0.37611999999999995,0.370225
background,25,0.9677750410509032,0.009182464454976303,0.31371333333333334,0.378875
background,26,0.9626690182245737,0.010432833247111572,0.21752666666666665,0.414425
background,27,0.6190898345153665,0.00912534435261708,0.13896,0.437
background,28,0.7944526993561168,0.008939974457215836,0.2132133333333333,0.420925
background,29,0.9474729241877257,0.009302325581395349,0.34934666666666664,0.39915
periodic,0,0.9577739809616793,0.010180684215353572,0.26086,0.476075
periodic,1,0.5555350212530031,0.00949004067160288,0.1997933333333333,0.3518
periodic,2,0.9590395480225988,0.010230654761904762,0.2708666666666667,0.43615
periodic,3,0.8349298284695923,0.00941870421463229,0.24920666666666666,0.38025
periodic,4,0.643552493634866,0.009011173855580921,0.28596666666666665,0.342
periodic,5,0.855202222908305,0.01161699131659235,0.3686733333333333,0.381575
periodic,6,0.9896109637488948,0.011454753722794959,0.29766666666666663,0.411675
periodic,7,0.9038591740013541,0.009568851737791465,0.35541999999999996,0.408475
periodic,8,0.9547881214547881,0.009327115256495669,0.38097333333333333,0.39325
periodic,9,0.8417065390749602,0.008613782051282052,0.28089333333333333,0.4307
periodic,10,0.979624134520277,0.011664152840623429,0.32935999999999993,0.410825
periodic,11,0.883910792512943,0.009520946081379034,0.2953,0.372175
periodic,12,0.883119527591122,0.011695906432748537,0.2883466666666667,0.3761
periodic,13,0.6615715309290662,0.011282715250161843,0.18385333333333334,0.359425
periodic,14,0.9788167650174006,0.009891550470742461,0.43071333333333334,0.404975
periodic,15,0.9675249362096962,0.010010290953316493,0.2773533333333333,0.407525
periodic,16,0.8534936138241923,0.009888150429567191,0.15065333333333333,0.4119
periodic,17,0.9765128488532744,0.009665231526227924,0.23486666666666664,0.55025
periodic,18,0.891459074733096,0.01066447908121411,0.1661333333333333,0.41195
periodic,19,0.7830300632911392,0.011363636363636364,0.26318,0.39735
periodic,20,0.6342762063227954,0.010587744893705711,0.12621999999999997,0.3771
periodic,21,0.960796672129081,0.011178717985000707,0.5076066666666668,0.393675
periodic,22,0.9469223007063572,0.010253857640617222,0.3121133333333333,0.429225
periodic,23,0.9451448794514488,0.01002004008016032,0.2841666666666667,0.407975
periodic,24,0.8951080773606371,0.008392267798208392,0.26167333333333337,0.390675
periodic,25,0.9528753993610224,0.010583422269654927,0.23780666666666667,0.381175
periodic,26,0.9704918032786886,0.010734220695577501,0.2162333333333333,0.42965
periodic,27,0.849833484710869,0.009660596734205351,0.18638,0.3952
periodic,28,0.8769152196118488,0.010104655359076146,0.22818666666666668,0.39565
periodic,29,0.9818411097099622,0.0095151789759855,0.25883333333333336,0.389675
freq_agile,0,0.7428956228956229,0.011353135313531354,0.36716000000000004,0.44445
freq_agile,1,0.7704021289178001,0.01056338028169014,0.34681999999999996,0.46055
freq_agile,2,0.8400074850299402,0.010874067937033969,0.29856666666666665,0.520525
freq_agile,3,0.8998877665544333,0.010715979137031768,0.2665133333333333,0.5258
freq_agile,4,0.9946644777344552,0.01086205194035746,0.3224,0.517875
freq_agile,5,0.8702885365219651,0.011771147002463728,0.44582666666666665,0.4682
freq_agile,6,0.8455955130320026,0.009733721190422913,0.3411533333333333,0.4748
freq_agile,7,0.949517867271696,0.008807247106190236,0.4459333333333333,0.49785
freq_agile,8,0.8013743455497382,0.008888388838883888,0.32600666666666667,0.484175
freq_agile,9,0.8573750507923609,0.007877116975187082,0.4216,0.455675
freq_agile,10,0.9335061766051548,0.010541276797346915,0.40747333333333335,0.459175
freq_agile,11,0.7495391098235449,0.009015442292243148,0.18905999999999998,0.547275
freq_agile,12,0.9008344923504867,0.01088348271446863,0.4312333333333333,0.449825
freq_agile,13,0.820164609053498,0.011834319526627219,0.2649333333333333,0.502575
freq_agile,14,0.8851008458035133,0.010526315789473684,0.45295333333333326,0.470325
freq_agile,15,0.7556113202286352,0.009071163919764917,0.36085999999999996,0.451325
freq_agile,16,0.8489926191901057,0.009812756583558626,0.28308,0.481475
freq_agile,17,0.9791432696935665,0.00958138473822288,0.40630666666666665,0.494525
freq_agile,18,0.9805240793201133,0.009730538922155689,0.36859333333333333,0.47735
freq_agile,19,0.8440499671268902,0.010141987829614604,0.4274333333333333,0.41815
freq_agile,20,0.6221606648199446,0.012728221178925404,0.22378666666666663,0.4366
freq_agile,21,0.8442911445867943,0.012156515132328733,0.39915999999999996,0.515875
freq_agile,22,0.9121392874415606,0.0102307604865295,0.3766,0.47835
freq_agile,23,0.9214588377723971,0.010724499523355576,0.4053333333333334,0.5004
freq_agile,24,0.878,0.008,0.3800133333333333,0.430925
freq_agile,25,0.8464572902442725,0.010464977999762159,0.37134666666666666,0.442375
freq_agile,26,0.8544634377967711,0.010752688172043012,0.23915999999999998,0.531525
freq_agile,27,0.7867702805155421,0.009666803784450843,0.27610666666666667,0.473625
freq_agile,28,0.7134863978390893,0.01028827544056229,0.24585999999999994,0.445875
freq_agile,29,0.9491549099036178,0.010075245504399949,0.45247333333333334,0.4447
